cnpj_raiz,vencimento,data_pagamento,data_atraso,data_lancamento,valor_total,transacoes,dias_atraso,target,num_cobrancas,num_pgto_no_dia_total,num_pgto_no_dia_ult_30_dias,num_pgto_no_dia_ult_60_dias,num_pgto_no_dia_ult_90_dias,num_pgto_no_dia_ult_120_dias,num_pgto_atrasado_mais_5_total,num_pgto_atrasado_mais_5_ult_30_dias,num_pgto_atrasado_mais_5_ult_60_dias,num_pgto_atrasado_mais_5_ult_90_dias,num_pgto_atrasado_mais_5_ult_120_dias,num_pgto_atrasado_menos_5_total,num_pgto_atrasado_menos_5_ult_30_dias,num_pgto_atrasado_menos_5_ult_60_dias,num_pgto_atrasado_menos_5_ult_90_dias,num_pgto_atrasado_menos_5_ult_120_dias,num_pgto_adiantado_total,num_pgto_adiantado_ult_30_dias,num_pgto_adiantado_ult_60_dias,num_pgto_adiantado_ult_90_dias,num_pgto_adiantado_ult_120_dias,valor_pgto_no_dia_total,valor_pgto_no_dia_ult_30_dias,valor_pgto_no_dia_ult_60_dias,valor_pgto_no_dia_ult_90_dias,valor_pgto_no_dia_ult_120_dias,valor_pgto_atrasado_mais_5_total,valor_pgto_atrasado_mais_5_ult_30_dias,valor_pgto_atrasado_mais_5_ult_60_dias,valor_pgto_atrasado_mais_5_ult_90_dias,valor_pgto_atrasado_mais_5_ult_120_dias,valor_pgto_atrasado_menos_5_total,valor_pgto_atrasado_menos_5_ult_30_dias,valor_pgto_atrasado_menos_5_ult_60_dias,valor_pgto_atrasado_menos_5_ult_90_dias,valor_pgto_atrasado_menos_5_ult_120_dias,valor_pgto_adiantado_total,valor_pgto_adiantado_ult_30_dias,valor_pgto_adiantado_ult_60_dias,valor_pgto_adiantado_ult_90_dias,valor_pgto_adiantado_ult_120_dias,num_transacoes_pgto_no_dia_total,num_transacoes_pgto_no_dia_ult_30_dias,num_transacoes_pgto_no_dia_ult_60_dias,num_transacoes_pgto_no_dia_ult_90_dias,num_transacoes_pgto_no_dia_ult_120_dias,num_transacoes_pgto_atrasado_mais_5_total,num_transacoes_pgto_atrasado_mais_5_ult_30_dias,num_transacoes_pgto_atrasado_mais_5_ult_60_dias,num_transacoes_pgto_atrasado_mais_5_ult_90_dias,num_transacoes_pgto_atrasado_mais_5_ult_120_dias,num_transacoes_pgto_atrasado_menos_5_total,num_transacoes_pgto_atrasado_menos_5_ult_30_dias,num_transacoes_pgto_atrasado_menos_5_ult_60_dias,num_transacoes_pgto_atrasado_menos_5_ult_90_dias,num_transacoes_pgto_atrasado_menos_5_ult_120_dias,num_transacoes_pgto_adiantado_total,num_transacoes_pgto_adiantado_ult_30_dias,num_transacoes_pgto_adiantado_ult_60_dias,num_transacoes_pgto_adiantado_ult_90_dias,num_transacoes_pgto_adiantado_ult_120_dias,razao_transacoes_pgto_atrasado_mais_5_30_60,razao_transacoes_pgto_atrasado_mais_5_30_90,razao_transacoes_pgto_atrasado_mais_5_30_120,razao_transacoes_pgto_atrasado_menos_5_30_60,razao_transacoes_pgto_atrasado_menos_5_30_90,razao_transacoes_pgto_atrasado_menos_5_30_120,razao_transacoes_pgto_no_dia_30_60,razao_transacoes_pgto_no_dia_30_90,razao_transacoes_pgto_no_dia_30_120,razao_transacoes_pgto_adiantado_30_60,razao_transacoes_pgto_adiantado_30_90,razao_transacoes_pgto_adiantado_30_120
00.091.731,2023-06-26,2023-06-12,2023-07-04,2023-06-15,11212.29,3,0.0,vencido,118,50,1,3,5,7,3,0,0,0,0,64,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.428.307,2023-06-30,2023-06-19,2023-07-10,2023-06-15,325943.61,1,2.0,vencido,4,2,1,2,2,2,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.674.371,2023-06-30,2023-06-15,2023-07-10,2023-06-15,18256.63,4,0.0,vencido,74,53,1,4,5,8,0,0,0,0,0,20,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.693.135,2023-06-22,2023-06-15,2023-06-30,2023-06-07,8264.44,4,0.0,vencido,39,37,4,7,11,15,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.708.319,2023-06-19,2023-06-19,2023-06-27,2023-06-07,2904.06,5,0.0,pgto_no_dia,156,84,3,7,11,13,3,0,0,0,0,68,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.749.205,2023-06-29,2023-06-13,2023-07-07,2023-06-14,13219.52,1,-2.0,vencido,30,11,2,4,4,6,0,0,0,0,0,12,1,3,3,5,7,0,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.766.315,2023-05-24,2023-06-07,2023-06-01,2023-04-14,466489.637,106,15.0,vencido,34,10,0,0,0,0,14,2,4,6,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.822.009,2023-06-12,2023-06-02,2023-06-20,2023-05-31,81337.586,28,0.0,vencido,151,60,3,6,6,7,19,0,0,0,0,72,0,1,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.853.538,2023-06-21,2023-06-14,2023-06-29,2023-06-14,29334.9,1,0.0,vencido,186,91,3,6,9,14,9,0,0,0,0,83,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
00.970.771,2023-06-30,2023-06-15,2023-07-10,2023-06-15,78387.99,17,0.0,vencido,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
