cnpj_raiz,email_corporativo,cargo_dono_agg,estado,capital
00.020.682,1,outros,SP,0
00.028.986,1,gerente,SP,1
00.058.757,0,diretor,BA,0
00.064.494,1,gerente,Outros,0
00.074.569,1,gerente,RJ,1
00.091.731,1,gerente,MG,0
00.093.451,1,gerente,GO,0
00.103.768,0,gerente,MG,0
00.130.790,1,gerente,Outros,0
00.132.104,0,gerente,Outros,0
00.145.564,0,gerente,RS,0
00.163.083,1,gerente,SP,0
00.168.581,1,gerente,SP,0
00.183.277,1,diretor,GO,1
00.189.732,0,diretor,Outros,0
00.205.840,1,socio,SC,0
00.240.681,0,gerente,Outros,1
00.242.667,1,diretor,PR,0
00.350.232,1,diretor,Outros,0
00.389.587,1,gerente,RS,0
00.401.152,0,diretor,SC,0
00.428.307,1,outros,SC,1
00.447.333,1,diretor,SP,0
00.471.390,1,gerente,SC,0
00.472.038,1,diretor,Outros,1
00.486.075,0,diretor,MG,0
00.498.827,1,proprietario,PR,0
00.502.374,1,diretor,Outros,0
00.529.918,1,diretor,PR,0
00.536.783,0,diretor,Outros,1
00.537.945,1,gerente,SP,0
00.545.042,0,diretor,MG,0
00.568.986,0,diretor,Outros,1
00.587.085,1,socio,SC,0
00.612.188,0,socio,MG,0
00.619.761,1,proprietario,PR,0
00.657.565,1,gerente,Outros,1
00.674.371,1,diretor,RS,0
00.693.135,1,socio,Outros,1
00.699.167,0,diretor,Outros,0
00.708.319,0,diretor,MG,0
00.732.285,1,socio,RS,0
00.739.209,1,socio,SP,0
00.749.205,0,gerente,Outros,1
00.766.315,1,diretor,SC,0
00.776.574,1,gerente,RJ,1
00.777.674,1,diretor,Outros,1
00.785.406,0,diretor,Outros,1
00.785.860,1,diretor,PB,1
00.795.877,1,gerente,PR,0
00.810.218,1,diretor,Outros,0
00.821.318,1,gerente,BA,0
00.822.009,1,gerente,SC,0
00.827.591,1,proprietario,SP,0
00.853.538,1,diretor,GO,0
00.894.942,0,proprietario,SP,0
00.903.359,0,proprietario,Outros,1
00.909.327,1,socio,PB,1
00.941.293,1,diretor,SP,0
00.950.001,1,gerente,MG,0
00.965.445,0,socio,MG,0
00.970.771,1,proprietario,Outros,1
00.972.696,1,diretor,RJ,0
00.994.870,1,diretor,BA,1
00.998.573,1,diretor,SP,0
01.031.060,1,outros,Outros,1
01.031.635,1,diretor,SP,0
01.043.306,1,diretor,Outros,0
01.047.465,1,proprietario,Outros,0
01.049.312,1,gerente,SP,0
01.051.296,1,diretor,Outros,0
01.097.817,1,socio,MG,0
01.107.327,1,diretor,RS,1
01.113.113,1,diretor,SP,0
01.114.430,1,gerente,RJ,0
01.118.771,1,gerente,RS,0
01.125.308,1,socio,BA,0
01.125.797,1,gerente,SP,1
01.126.097,0,diretor,Outros,0
01.128.449,1,socio,SP,1
01.157.555,1,outros,SP,1
01.161.180,1,gerente,SP,0
01.168.727,1,gerente,RS,0
01.170.971,1,gerente,RS,0
01.177.442,1,socio,Outros,1
01.194.185,1,gerente,PR,0
01.206.266,0,diretor,Outros,0
01.233.060,1,gerente,SP,0
01.274.277,0,diretor,Outros,0
01.290.096,1,diretor,SP,1
01.318.705,1,diretor,Outros,1
01.324.733,1,diretor,SP,0
01.338.388,1,socio,MG,1
01.341.375,1,socio,SC,0
01.353.824,1,diretor,Outros,0
01.374.153,1,socio,MG,0
01.375.753,1,gerente,SP,0
01.393.666,0,diretor,MG,0
01.417.222,1,gerente,MG,0
01.428.996,1,diretor,SC,0
01.434.954,1,diretor,RJ,0
01.435.244,1,gerente,RJ,1
01.437.589,1,proprietario,SP,1
01.446.719,1,socio,Outros,0
01.451.873,0,socio,RJ,0
01.454.574,1,gerente,RJ,0
01.463.378,1,proprietario,SP,0
01.496.170,0,proprietario,SP,0
01.496.359,1,gerente,Outros,0
01.502.091,1,outros,MG,0
01.502.510,1,gerente,SP,0
01.512.680,0,diretor,Outros,0
01.554.759,1,gerente,SC,0
01.556.786,1,diretor,Outros,1
01.561.279,1,gerente,BA,0
01.570.842,1,outros,SP,0
01.585.137,1,socio,SP,1
01.588.286,1,diretor,RS,0
01.588.839,1,gerente,Outros,1
01.597.017,1,proprietario,SP,1
01.612.795,1,gerente,Outros,1
01.614.298,1,diretor,SC,0
01.618.204,1,diretor,Outros,1
01.618.978,1,socio,MG,0
01.627.047,1,diretor,MG,0
01.647.381,1,gerente,GO,1
01.650.438,1,diretor,PR,0
01.657.287,1,outros,SP,1
01.661.067,1,gerente,SP,1
01.666.018,1,outros,MG,0
01.674.405,1,proprietario,MG,0
01.695.336,1,gerente,RJ,1
01.698.119,1,gerente,SP,0
01.731.676,1,diretor,SC,0
01.732.658,1,gerente,PB,1
01.734.015,1,diretor,SP,0
01.741.756,1,gerente,Outros,1
01.785.629,1,gerente,MG,0
01.799.612,1,diretor,SC,0
01.801.151,1,socio,MG,0
01.808.382,1,diretor,PR,0
01.818.827,1,proprietario,PR,1
01.830.145,1,diretor,Outros,1
01.834.475,1,diretor,Outros,1
01.843.064,1,gerente,SP,1
01.853.408,1,gerente,SP,0
01.861.984,1,gerente,SP,0
01.871.506,1,socio,MG,0
01.890.043,1,socio,PB,1
01.892.569,0,diretor,Outros,1
01.895.842,0,socio,GO,1
01.913.769,1,diretor,Outros,0
01.915.382,1,diretor,PR,0
01.922.461,1,gerente,SC,0
01.937.440,1,diretor,PR,0
01.956.134,1,gerente,SC,0
01.967.524,1,diretor,SC,0
01.982.960,1,socio,GO,0
01.984.600,1,gerente,SP,0
02.006.743,1,diretor,SP,0
02.019.761,0,socio,PB,0
02.050.781,1,diretor,Outros,1
02.059.753,1,gerente,MG,1
02.122.452,1,outros,PR,0
02.136.635,1,gerente,SP,0
02.137.337,0,gerente,SP,1
02.141.324,0,gerente,Outros,0
02.153.350,1,socio,PB,0
02.153.387,0,proprietario,Outros,1
02.171.304,1,diretor,GO,0
02.190.197,0,gerente,Outros,0
02.191.966,1,gerente,SC,0
02.200.717,1,socio,SP,0
02.210.644,0,diretor,RS,0
02.241.228,0,diretor,MG,0
02.241.402,1,gerente,Outros,1
02.254.737,1,gerente,SP,1
02.259.840,1,proprietario,SP,0
02.266.555,1,socio,BA,0
02.295.361,1,outros,PR,0
02.300.546,1,gerente,RS,0
02.300.995,1,diretor,SC,0
02.318.826,1,diretor,Outros,0
02.325.282,1,diretor,MG,0
02.328.280,1,outros,SP,0
02.341.494,1,diretor,PB,1
02.350.385,1,diretor,ES,0
02.372.131,1,diretor,SP,0
02.374.461,1,gerente,Outros,1
02.400.001,0,diretor,MG,0
02.433.453,1,diretor,RS,0
02.435.349,1,socio,SP,0
02.436.829,1,gerente,Outros,1
02.442.313,1,proprietario,SP,0
02.465.242,1,gerente,RJ,0
02.475.586,0,diretor,SC,0
02.492.735,1,diretor,PR,0
02.494.715,1,gerente,RS,0
02.496.910,1,gerente,MG,1
02.505.657,1,gerente,RS,0
02.505.848,1,gerente,RS,0
02.519.166,0,proprietario,PR,1
02.528.096,1,gerente,SP,0
02.556.936,1,outros,SP,0
02.574.772,1,gerente,PR,0
02.581.927,0,diretor,Outros,0
02.590.088,1,gerente,RS,1
02.622.166,1,proprietario,SP,0
02.627.526,1,diretor,RS,1
02.631.552,1,proprietario,MG,0
02.633.114,1,proprietario,RS,0
02.633.583,1,diretor,RS,0
02.653.810,1,socio,BA,0
02.666.249,1,outros,SP,0
02.681.594,0,socio,GO,1
02.708.521,1,socio,RS,1
02.709.291,1,socio,RJ,0
02.709.439,1,diretor,SC,0
02.714.518,1,socio,RJ,0
02.723.506,1,diretor,Outros,0
02.726.560,1,gerente,GO,0
02.737.600,1,diretor,RJ,1
02.758.232,1,socio,SP,1
02.761.178,1,proprietario,PR,1
02.764.943,0,proprietario,Outros,1
02.776.842,1,proprietario,Outros,0
02.788.492,1,gerente,SP,0
02.796.312,1,gerente,Outros,1
02.796.545,0,outros,RS,0
02.799.172,1,proprietario,SP,1
02.799.488,1,socio,GO,1
02.870.124,1,diretor,MG,0
02.871.155,1,diretor,Outros,0
02.909.918,0,outros,RJ,1
02.930.056,0,gerente,PB,1
02.940.206,0,gerente,Outros,0
02.942.192,1,proprietario,PR,0
02.944.292,1,diretor,SC,0
02.964.147,1,outros,SP,0
02.970.430,1,gerente,SP,1
02.973.203,1,socio,SP,0
02.999.066,1,socio,PR,0
03.011.765,1,diretor,Outros,1
03.021.596,1,socio,RS,1
03.043.667,1,socio,MG,0
03.052.564,1,diretor,Outros,0
03.067.571,0,diretor,Outros,1
03.078.411,0,diretor,ES,0
03.081.014,0,diretor,MG,0
03.090.813,1,gerente,MG,1
03.094.114,1,outros,RS,1
03.097.679,1,diretor,BA,0
03.108.902,1,socio,BA,0
03.117.224,1,proprietario,Outros,1
03.130.160,1,outros,MG,1
03.162.135,1,outros,MG,0
03.165.994,1,socio,Outros,0
03.169.677,1,socio,BA,0
03.173.153,0,diretor,Outros,0
03.174.409,1,diretor,Outros,1
03.199.822,1,proprietario,SP,1
03.209.450,1,gerente,SC,0
03.215.725,1,gerente,PB,0
03.217.800,0,gerente,SP,0
03.227.229,1,gerente,RS,0
03.229.138,1,gerente,SP,1
03.232.675,1,diretor,Outros,1
03.233.439,1,proprietario,Outros,1
03.234.959,0,socio,MG,0
03.247.073,0,outros,RS,0
03.251.483,1,proprietario,Outros,0
03.266.537,1,gerente,PR,0
03.270.464,0,proprietario,SC,0
03.278.237,1,proprietario,MG,0
03.299.955,1,diretor,GO,1
03.301.053,1,diretor,ES,0
03.303.820,1,diretor,PR,0
03.304.397,1,diretor,PR,0
03.307.982,1,diretor,Outros,0
03.313.948,1,socio,PB,0
03.317.169,1,socio,PB,0
03.325.436,1,gerente,PB,1
03.325.759,1,diretor,PR,0
03.334.170,1,diretor,SP,1
03.337.398,0,proprietario,RS,0
03.337.564,0,socio,Outros,1
03.341.775,1,gerente,RS,0
03.344.935,1,gerente,RS,0
